id,ПІБ,Округ,Висування,Номер і дата реєстрації,Номер та дата рішення про скасування реєстрації кандидата,Дата народження,Основні відомості,Передвиборна програма,Фотографія,Довірені особи
2107,Березін Максим Юрійович,151,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 03.08.2019,9 травня 1984,"народився 9 травня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, КП ""Муніципальна варта"" Кременчуцької міської ради, безпартійний, проживає в місті Кременчук Полтавської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21136pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21136.jpg,"Березін Сергій Юрійович,Брижко Руслан Олексійович,Пащенко Андрій Володимирович"
2108,Богдан Руслан Дмитрович,151,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,28 сiчня 1972,"народився 28 сiчня 1972 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19114pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19114.jpg,"Баклан Ганна Іванівна,Бондарєва Ольга Миколаївна"
2109,Ешматова Айгуль Кодіржанівна,151,Самовисування,1209 від 24.06.2019,,29 сiчня 1992,"народилася 29 сiчня 1992 року в місті Миколаєві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Глобал Транс Компані"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18763pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18763.jpg,"Атракович Костянтин Олегович,Ковальчук Сергій Володимирович,Крамчанінов Олександр Олександрович"
2110,Колісніченко Віталій Іванович,151,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,31 березня 1969,"народився 31 березня 1969 року в селі Слободо-Петрівка Гребінківського району Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Гребінківський міський голова, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в місті Гребінка Гребінківського району Полтавської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19103pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19103.jpg,
2111,Кривенко Віктор Миколайович,151,Самовисування,1275 від 25.06.2019,,9 сiчня 1982,"народився 9 сiчня 1982 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Народний Рух України"", проживає в смт Курилівка Петриківського району Дніпропетровської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20778pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20778.jpg,"Гончаров Євген Іванович,Карманніков Максим Олександрович,Стасовський Василь Іванович"
2112,Матюшенко Олексій Володимирович,151,Самовисування,1116 від 21.06.2019,,24 вересня 1982,"народився 24 вересня 1982 року в місті Гадяч Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Гадяцька районна державна адміністрація Полтавської області, безпартійний, проживає в місті Гадяч Полтавської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17326pd410f01=27.docx,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17326.jpg,"Матюшенко Ігор Іванович,Насменчук Анатолій Миколайович,Хоруженко Сергій Григорович"
2113,Мірошніченко Аліна Олегівна,151,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,12 березня 1989,"народилася 12 березня 1989 року в село Сліпорід-Іванівка Гребінківського району Полтавської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з питань регіонального розвитку Пирятинської районної організації, Полтавська територіальна організація ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", викладач, Пирятинська філія ""Європейський університет"", фізична особа – підприємець, член Політичної партії ""Європейська Солідарність"", проживає в місті Пирятин Полтавської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18846pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18846.jpg,
2114,Опришко Володимир Іванович,151,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,30 липня 1980,"народився 30 липня 1980 року в місті Гадяч Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, сільськогосподарський обслуговуючий кооператив ""ЯГОДИ СЕРГІЇВКИ"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Гадяч Полтавської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19447pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19447.jpg,
2115,Петкус Іван Антонасович,151,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1286 від 25.06.2019,,26 квiтня 1959,"народився 26 квiтня 1959 року в селі Нова Горлівка Калінінського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член ПОЛІТИЧНОЇ ПАРТІЇ ""СИЛА І ЧЕСТЬ"", проживає в місті Пирятин Пирятинського району Полтавської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21194pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21194.jpg,
2116,Чубенко Артем Вікторович,151,"політична партія Всеукраїнське об’єднання ""Свобода""",1142 від 22.06.2019,,2 липня 1986,"народився 2 липня 1986 року в місті Полтаві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер зі збуту, ТОВ ""Інтер-Запоріжжя"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Полтаві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17632pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17632.jpg,Голінко Микола Іванович
2117,Алексійчук Роман Васильович,152,Самовисування,1139 від 22.06.2019,,17 травня 1985,"народився 17 травня 1985 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ОСББ ""Мій дім"", член ПОЛІТИЧНОЇ ПАРТІЇ ""ПАРТІЯ ГРОМАДИ ОБ’ЄДНАНИХ ВЛАСНИКІВ БАГАТОКВАРТИРНИХ БУДИНКІВ, БУДІВЕЛЬНИКІВ ТА БУДІВЕЛЬНИХ ОРГАНІЗАЦІЙ"", проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17745pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17745.jpg,
2118,Бляшин Микола Степанович,152,Самовисування,1047 від 18.06.2019,,24 травня 1981,"народився 24 травня 1981 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, АДВОКАТСЬКЕ БЮРО ""МИКОЛИ БЛЯШИНА"", член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16127pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16127.jpg,"Бляшин Василь Степанович,Боднарюк Ірина Леонідівна,Лавренчук Тетяна Віталіївна"
2119,Євтушенко Святослав Ігорович,152,Самовисування,1003 від 14.06.2019,,9 лютого 1979,"народився 9 лютого 1979 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ДРУК"", член Політичної партії ""Народний Рух України"", проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15642pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15642.jpg,"Грудницький Володимир Миколайович,Євтушенко Ольга Володимирівна,Пилипака Сергій Іванович"
2120,Кириллов Михайло Михайлович,152,Самовисування,1116 від 21.06.2019,,5 червня 1980,"народився 5 червня 1980 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17907pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17907.jpg,
2121,Коваль Роман Ярославович,152,Самовисування,1096 від 20.06.2019,,3 квiтня 1963,"народився 3 квiтня 1963 року в селі Соснів Теребовлянського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-травматолог, Рівненська центральна міська лікарня, безпартійний, проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17606pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17606.jpg,"Козак Рада Сергіївна,Коняхін Юрій Олександрович,Царук Василь Кіндратович"
2122,Ковальчук Олександр Володимирович,152,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 30.07.2019,5 лютого 1974,"народився 5 лютого 1974 року в місті Новоград-Волинський Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ГО ""Платформа взаємодій ""ПРОСТІР"", безпартійний, проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21145pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21145.jpg,"Безощук Олександр Валерійович,Найдич Микола Андрійович,Савчук Євгеній Анатолійович"
2123,Коршунова Людмила Сергіївна,152,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,26 квiтня 1958,"народилася 26 квiтня 1958 року в місті Рівному, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, безпартійнa, проживає в місті Рівному, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21342pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21342.jpg,
2124,Курсик Олександр Васильович,152,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,1 жовтня 1985,"народився 1 жовтня 1985 року в селі Срібне Радивилівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, журналіст, директор програм, ТРК ""РИТМ"", викладач, Національний університет водного господарства та природокористування, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Рівному, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19104pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19104.jpg,"Волков Максим Сергійович,Прокопчук Оксана Миколаївна"
2125,Левчик Руслан Васильович,152,"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",1285 від 25.06.2019,,4 грудня 1985,"народився 4 грудня 1985 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАЗОМ СИЛА"", проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21320pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21320.jpg,
2126,Марков Роман Сергійович,152,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1286 від 25.06.2019,,9 листопада 1980,"народився 9 листопада 1980 року в місті Кострома Костромської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Велтрейд"", фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""СИЛА І ЧЕСТЬ"", проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21226pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21226.jpg,
2127,Муляренко Олексій Віталійович,152,Самовисування,956 від 07.06.2019,,15 жовтня 1976,"народився 15 жовтня 1976 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Рівненська обласна державна адміністрація, безпартійний, проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15201pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15201.jpg,
2128,Ніколайчук Микола Віталійович,152,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,5 червня 1988,"народився 5 червня 1988 року в місті Рівному, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Рівне Дім Сервіс"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Рівному, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19506pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19506.jpg,
2129,Осуховський Олег Іванович,152,"політична партія Всеукраїнське об’єднання ""Свобода""",1220 від 24.06.2019,,18 червня 1978,"народився 18 червня 1978 року в селі Великосілки Кам’янка-Бузького району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Рівному, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17749pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17749.jpg,"Бортнік Анатолій Сергійович,Куліковський Олександр Валерійович,Лужний Олег Романович"
2130,Стасюк Роман Павлович,152,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,6 березня 1976,"народився 6 березня 1976 року в селі Адамівка Гайсинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу, ПП фірма ""ТЕХЗАПЧАСТИНА"", член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в селі Грушвиця Перша Рівненського району Рівненської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19352pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19352.jpg,"Гандзюк Марія Андріївна,Затинний Сергій Сергійович,Пащук Ірина Леонтіївна"
2131,Валявка Володимир Ярославович,153,"політична партія Всеукраїнське об’єднання ""Свобода""",1279 від 25.06.2019,,28 липня 1974,"народився 28 липня 1974 року в селі Рясне Яворівського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ТМ ОЙЛ"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Львові, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21664pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21664.jpg,"Калька Ярослав Зіновійович,Костя Юрій Юрійович,Солодуха Іван Олександрович"
2132,Вознюк Юрій Володимирович,153,Самовисування,1096 від 20.06.2019,,31 сiчня 1980,"народився 31 сiчня 1980 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17249pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17249.jpg,"Вознюк Зоряна Валентинівна,Михальська Марія Михайлівна,Харчук Василь Іванович"
2133,Дутко Павло Юрійович,153,"Політична партія ""Сила Людей""",1280 від 25.06.2019,,30 травня 1981,"народився 30 травня 1981 року в смт Квасилів Рівненського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник гуртка ""Пластуни-новаки"", Грушвицька загальноосвітня школа І-ІІІ ступенів, член Політичної партії ""Сила Людей"", проживає в смт Квасилів Рівненського району Рівненської області, судимість відсутня, суб’єкт висування – Політична партія ""Сила Людей"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20025pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20025.jpg,
2134,Іванісов Роман Валерійович,153,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 31.07.2019,2 листопада 1978,"народився 2 листопада 1978 року в місті Бердянськ Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний юрист, ТОВ ""ПРОФ ДЕЗ КОНТРОЛЬ ПЛЮС"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21158pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21158.jpg,"Жук Ірина Євгеніївна,Стратюк Олег Олександрович"
2135,Івойлова Алла Антонівна,153,Самовисування,1390 від 30.06.2019,,11 вересня 1972,"народилася 11 вересня 1972 року в місті Рівному, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПОЛІТИЧНОЇ ПАРТІЇ ""ПАРТІЯ РЕГІОНІВ"", проживає в місті Рівному, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17913pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17913.jpg,
2136,Козаков Євген Юрійович,153,Самовисування,1390 від 30.06.2019,,17 листопада 1973,"народився 17 листопада 1973 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, австрійська компанія ""Альфа коммерс Брендз ГмБх"", директор, ТОВ ""Інвестиційна група компаній Формула-ЮА"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18830pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18830.jpg,"Ільїн Василь Андрійович,Чернявський Сергій Володимирович"
2137,Мітюхін Андрій Вікторович,153,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1286 від 25.06.2019,,17 червня 1974,"народився 17 червня 1974 року в місті Острог Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник охорони, ТОВ ""Охоронне агентство ""Фортуна"", безпартійний, проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21204pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21204.jpg,"Люзьняк Юрій Степанович,Ніжник Роман Олегович"
2138,Нікітюк Павло Михайлович,153,Самовисування,1003 від 14.06.2019,,29 червня 1989,"народився 29 червня 1989 року в селі Лючин Острозького району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий, адвокатське бюро ""Павла Нікітюка"", безпартійний, проживає в місті Нетішин Хмельницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15362pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15362.jpg,"Волошин Ілля Васильович,Парфенюк Тетяна Степанівна,Тоненчук Анна Сергіївна"
2139,Ундір Віталій Олександрович,153,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,20 жовтня 1980,"народився 20 жовтня 1980 року в місті Острог Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Рівненська обласна державна адміністрація, безпартійний, проживає в місті Острог Рівненської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18844pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18844.jpg,"Борисенко Наталія Петрівна,Мамонтова Наталія Анатоліївна"
2140,Хорев Максим Валерійович,153,Самовисування,1172 від 23.06.2019,,29 вересня 1978,"народився 29 вересня 1978 року в місті Єнакієве Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, керівник, Українсько - Єврейський релігійно культурний центр ""ЯХАД"", безпартійний, проживає в місті Нетішин Хмельницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17360pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17360.jpg,Ковальчук Олександр Костянтинович
2141,Цвіль Володимир Іванович,153,Самовисування,1439 від 02.07.2019,,11 лютого 1962,"народився 11 лютого 1962 року в селі Томашівці Калуського району Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова Ради директорів ""Баварсько-Український Форум"", безпартійний, проживає в місті Яремче Івано-Франківської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21578pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21578.jpg,
2142,Щербачук Віктор Миколайович,153,Самовисування,1003 від 14.06.2019,,1 вересня 1981,"народився 1 вересня 1981 року в селі Хомутець Миргородського району Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""РІТТЕР БІО АГРО"", член Селянської партії України, проживає в місті Острог Рівненської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15411pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15411.jpg,"Бедричук Валентин Валентинович,Конечний Михайло Григорович,Мусевич Сергій Леонідович"
2143,Аліксійчук Олександр Васильович,154,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 31.07.2019,6 березня 1981,"народився 6 березня 1981 року в селі Буща Здолбунівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21172pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21172.jpg,"Биць Артур Вікторович,Днесь Володимир Ігорович,Школяр Іван Вячеславович"
2144,Бернацський Олег Васильович,154,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,15 вересня 1969,"народився 15 вересня 1969 року в селі Бугаївка Радивилівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Юридична фірма ""Адвокат і Закон"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19365pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19365.jpg,
2145,Дехтярчук Олександр Володимирович,154,Самовисування,1018 від 15.06.2019,,17 серпня 1971,"народився 17 серпня 1971 року в селі Голичівка Корецького району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Дубно Рівненської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15722pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15722.jpg,"Пахолок Андрій Володимирович,Терновик Віктор Ярославович"
2146,Женевський Сергій Юрійович,154,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,13 жовтня 1984,"народився 13 жовтня 1984 року в селі Плоска Дубенського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Фомальгаут – Галичина"", член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в селі Плоска Дубенського району Рівненської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19363pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19363.jpg,Мацишин Юрій Олексійович
